14,325459
16,204326
14,311213
16,103649
16,87954
16,116930
18,83820
16,54658
19,68662
17,53488
14,63655
13,80472
15,147465
16,122757
13,48755
17,89172
18,66956
16,62195
16,54823
18,48398
9,38283
16,55851
18,68859
18,43732
15,96285
16,52442
18,52347
14,48918
12,44844
16,42972
16,40135
12,41919
14,47560
17,63106
15,63615
17,70476
16,33642
18,41653
16,36002
17,35787
19,34512
13,28342
14,56793
14,39734
16,43203
18,46333
18,37498
18,80173
16,30622
19,47038
13,28272
11,31529
15,26731
16,37861
17,31166
17,32373
17,33803
12,27829
17,34304
18,32069
15,25640
11,26176
18,46383
16,71524
18,29091
15,23937
14,25653
11,26579
18,43789
12,23789
14,18609
18,23636
18,25671
16,26082
16,23712
18,34516
17,33729
17,32462
15,29763
15,32474
16,28748
16,23523
18,27555
17,32241
17,25276
17,31601
16,31187
17,24204
16,34794
18,57164
16,41298
14,55403
18,22453
15,50362
14,36434
17,62420
17,57263
14,25440
15,23914
19,35976
16,65021
12,27075
15,38625
17,30083
17,58317
17,43814
12,25957
14,51063
18,54829
17,33205
13,24963
17,31454
10,34488
14,33609
16,26387
18,80899
16,22217
15,105929
17,21734
15,41292
17,53227
17,32620
16,42172
18,50074
14,20867
11,28972
18,24687
18,55824
18,23800
10,16788
17,27718
18,20967
17,28150
14,108736
18,24699
17,19603
13,14815
14,38368
18,35169
17,21898
18,16665
16,40132
15,16603
16,30109
17,30200
17,60015
8,13581
15,29971
17,70040
11,20183
17,24041
14,25642
18,37822
17,23511
16,20006
14,115216
18,51610
15,20214
13,25855
14,40879
11,17806
14,17288
15,15606
18,25261
16,15288
17,77041
14,23236
17,51568
18,18363
17,20145
12,27494
13,42866
18,107489
17,16120
17,27527
18,33458
17,20462
14,103960
15,101510
11,15773
13,12578
14,62529
17,47089
16,17376
16,21592
16,16015
18,16094
16,29731
17,16924
15,30612
14,15610
16,18907
15,17763
13,9505
11,40718
18,48517
15,15385
11,16908
16,12393
16,21682
13,16978
18,32082
16,22279
17,15201
17,44359
17,16567
19,68431
14,10363
14,85126
14,11679
17,30704
18,26620
16,12658
12,15493
13,40786
17,34447
17,11921
12,13065
17,13986
18,20680
18,15704
18,15775
12,11327
17,29426
13,18764
18,18384
14,7681
16,31607
17,25283
18,8718
14,13025
18,22056
17,12454
18,20215
15,9303
17,8229
14,8881
13,36733
18,88473
18,62936
18,8666
15,13408
15,12812
16,9705
18,14172
16,12467
18,10894
9,9943
15,7019
17,11342
18,13836
18,22133
15,11688
14,11912
16,11383
18,21247
17,39687
14,8729
17,8543
17,47523
14,46166
17,9908
17,15663
16,7575
15,17089
18,51278
14,36368
17,28181
13,7484
19,12788
15,32131
18,14000
16,14181
13,12056
17,10568
14,10463
16,11594
11,10575
15,12387
18,96412
16,11338
15,9752
14,11405
18,20233
13,4998
16,11509
18,6962
15,77353
15,9694
18,30017
16,49836
15,69211
15,6733
16,10375
17,7325
17,30344
17,31178
18,14143
17,7899
18,7178
15,6875
17,13582
16,11357
18,11053
18,51737
18,7231
12,7254
18,9365
15,10218
17,58249
14,10829
17,15717
17,9879
17,9455
17,39029
17,23307
17,10285
16,6631
15,6813
16,7198
16,7695
17,12711
14,9787
18,33537
15,7681
14,6056
18,11717
18,10443
11,10245
13,30030
15,12546
18,7476
18,21963
17,15116
14,5258
17,10505
19,11348
17,18028
15,6627
17,6595
16,32082
14,11876
18,14070
17,13447
18,10695
15,17499
10,5040
14,19707
18,6867
15,6833
17,10445
14,9856
18,12990
14,10054
13,7751
18,9533
13,7810
16,41719
15,16836
18,8583
18,23044
18,14873
8,5583
14,7151
17,29058
17,7357
15,18032
16,7676
7,19029
16,14393
15,48521
15,8829
16,11654
17,7002
17,7684
12,44755
18,11438
15,10276
12,5603
16,33175
17,14425
17,14691
16,7869
15,11488
18,18622
18,139881
17,12007
15,8656
14,12937
18,12522
16,10879
18,8872
16,9899
18,12730
17,16169
18,17523
15,15320
17,14252
17,22631
16,15794
15,9717
19,8174
18,11180
16,11502
17,15017
13,8333
18,9957
17,14446
16,7996
17,14772
14,6597
17,7286
14,18696
16,11771
18,7623
9,8234
15,8733
18,13550
17,10002
13,32014
15,41357
17,9980
14,9431
16,7363
14,6991
18,13548
15,10931
13,6496
16,8258
14,11397
14,11420
16,11986
18,11301
13,9320
